sl_nr;messstelle_id;messstelle_sl_nr;datum_pn;stoff_nr;probengut;messergebnis_c;messergebnis_hinweis;bestimmungsgrenze;masseinheit;trennverfahren;verfahren;vor_ort
4483491;010409403;1134;1968-09-23;1011;Grundwasser;10,00000;                                                  ;;°C;Gesamtgehalt;; 
4483492;010409403;1134;1968-09-23;1061;Grundwasser;7,10000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984; 
4483493;010409403;1134;1968-09-23;1472;Grundwasser;5,49780;                                                  ;;mmol/l;Gesamtgehalt;DIN 38409-H7-1-2 MAI 1979;ja
4483494;010409403;1134;1968-09-23;1331;Grundwasser;17,00000;                                                  ;;mg/l;Nach Laborjournal;DEV D1-4; 
4483495;010409403;1134;1968-09-23;1482;Grundwasser;3,18620;                                                  ;;mmol/l;Gesamtgehalt;; 
4483496;010409403;1134;1968-09-23;1245;Grundwasser;3,61418;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
4483497;010409403;1134;1968-09-23;1531;Grundwasser;5,00000;                                                  ;;mg/l;Gesamtgehalt;0; 
12393226;010409403;1134;1968-09-16;1244;Grundwasser;13,99999;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
6868287;091130803;24131;1968-08-19;1249;Grundwasser;1,24031;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
6868290;091130803;24131;1968-08-19;1264;Grundwasser;0,01630;                                                  ;;mg/l;Membranfilter;DIN 38405-D11-1 OKTOBER 1983; 
6868288;091130803;24131;1968-08-19;1182;Grundwasser;0,50000;                                                  ;;mg/l;Gesamtgehalt;DEV(7) E1/1; 
6868286;091130803;24131;1968-08-19;1245;Grundwasser;0,13553;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
6868283;091130803;24131;1968-08-19;1061;Grundwasser;7,40000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984;ja
6868285;091130803;24131;1968-08-19;1313;Grundwasser;85,00000;                                                  ;;mg/l;Gesamtgehalt;DEV D5-1 6.LIEFERUNG 1971; 
6868284;091130803;24131;1968-08-19;1331;Grundwasser;27,00000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D1-1 DEZEMBER 1985; 
3396366;094160090;24635;1966-04-15;1331;Grundwasser;164,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363763;094160090;24635;1966-04-15;1244;Grundwasser;10,99999;                                                  ;;mg/l;Gesamtgehalt;; 
8289700;100740522;64253;1960-06-29;1245;Grundwasser;10,40000;                                                  ;;mg/l;Nach Laborjournal;DIN 38405-D9-2 MAI 1979; 
8289701;100740522;64253;1960-06-29;1281;Grundwasser;8,30000;                                                  ;;mg/l;Gesamtgehalt;DEV G2-1; 
8289699;100740522;64253;1960-06-29;1061;Grundwasser;7,40000;                                                  ;;-;Gesamtgehalt;DEV C5-2 4.LIEFERUNG 1966; 
8289702;100740522;64253;1960-06-29;1313;Grundwasser;36,00000;                                                  ;;mg/l;Nach Laborjournal;DEV D5-1 6.LIEFERUNG 1971; 
8289703;100740522;64253;1960-06-29;1331;Grundwasser;39,00000;                                                  ;;mg/l;Nach Laborjournal;DEV D1-2,3; 
12316610;100740522;64253;1960-06-29;1244;Grundwasser;46,04080;                                                  ;;mg/l;Nach Laborjournal;DIN 38405-D9-2 MAI 1979; 
3395979;094160090;24635;1964-04-15;1245;Grundwasser;1,80709;                                                  ;;mg/l;Gesamtgehalt;; 
3396342;094160090;24635;1964-04-15;1331;Grundwasser;155,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363739;094160090;24635;1964-04-15;1244;Grundwasser;7,99999;                                                  ;;mg/l;Gesamtgehalt;; 
9753780;021172109;3528;1968-06-12;1313;Grundwasser;35,00000;                                                  ;;mg/l;Gesamtgehalt;DEV D5-1 6.LIEFERUNG 1971; 
6868289;091130803;24131;1968-08-19;1171;Grundwasser;<0,01000;Konzentration zu gering zur Bestimmung            ;;mg/l;Gesamtgehalt;DIN 38406-E2 MAI 1983; 
12393227;010409403;1134;1968-09-23;1244;Grundwasser;15,99997;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
9753777;021172109;3528;1968-06-12;1061;Grundwasser;7,50000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984;ja
9753775;021172109;3528;1968-06-12;1011;Grundwasser;10,00000;                                                  ;;°C;Gesamtgehalt;DIN 38404-C4 DEZEMBER 1976;ja
9753778;021172109;3528;1968-06-12;1531;Grundwasser;5,10000;                                                  ;;mg/l;Nach Laborjournal;; 
9760943;021172109;3528;1968-06-12;1249;Grundwasser;0,93023;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
3395988;094160090;24635;1965-01-15;1245;Grundwasser;2,25886;                                                  ;;mg/l;Gesamtgehalt;; 
3396351;094160090;24635;1965-01-15;1331;Grundwasser;128,00000;                                                  ;;mg/l;Gesamtgehalt;; 
12363748;094160090;24635;1965-01-15;1244;Grundwasser;9,99997;                                                  ;;mg/l;Gesamtgehalt;; 
6868282;091130803;24131;1964-04-07;1121;Grundwasser;24,90000;                                                  ;;mg/l;Gesamtgehalt;DEV(7) E4/2; 
6868279;091130803;24131;1964-04-07;1061;Grundwasser;7,15000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984;ja
6868281;091130803;24131;1964-04-07;1122;Grundwasser;132,40000;                                                  ;;mg/l;Nach Laborjournal;; 
6868280;091130803;24131;1964-04-07;1331;Grundwasser;26,90000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D1-1 DEZEMBER 1985; 
12333192;091130803;24131;1968-08-19;1244;Grundwasser;0,59999;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
9753781;021172109;3528;1968-06-12;1245;Grundwasser;0,63248;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
9753779;021172109;3528;1968-06-12;1331;Grundwasser;46,00000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D1-1 DEZEMBER 1985; 
9753776;021172109;3528;1968-06-12;1029;Grundwasser;39,00000;                                                  ;;FNU;Gesamtgehalt;; 
9753785;021172109;3528;1968-06-12;1269;Grundwasser;0,05000;                                                  ;;mg/l;Gesamtgehalt;; 
