messstelle_id,e32,e32num,n32,n32num,genau
288169438,324023,324023.0,5657919,5657919.0,1
288169517,318440,318440.0,5663757,5663757.0,1
288169529,318440,318440.0,5663756,5663756.0,1
288169530,318440,318440.0,5663757,5663757.0,1
288169712,320995,320995.0,5681529,5681529.0,1
288169815,320305,320305.0,5681383,5681383.0,1
288169918,307917,307917.0,5691067,5691067.0,1
288170015,310620,310620.0,5693385,5693385.0,1
288170118,318948,318948.0,5665178,5665178.0,1
288170210,318683,318683.0,5665733,5665733.0,1
288170313,318788,318788.0,5665743,5665743.0,1
288170416,318822,318822.0,5665969,5665969.0,1
288170519,318598,318598.0,5665995,5665995.0,1
288170611,318733,318733.0,5666197,5666197.0,1
288170714,318913,318913.0,5666211,5666211.0,1
288170817,318847,318847.0,5666447,5666447.0,1
288170910,318738,318738.0,5666417,5666417.0,1
288171019,318614,318614.0,5666484,5666484.0,1
288171111,318809,318809.0,5666708,5666708.0,1
288171214,319806,319806.0,5667544,5667544.0,1
288171317,320133,320133.0,5667494,5667494.0,1
288171410,320227,320227.0,5667424,5667424.0,1
288171512,320532,320532.0,5667362,5667362.0,1
288171615,320613,320613.0,5667500,5667500.0,1
288171718,320906,320906.0,5667535,5667535.0,1
288171810,320947,320947.0,5667575,5667575.0,1
288171913,321203,321203.0,5667649,5667649.0,1
288172012,321259,321259.0,5667616,5667616.0,1
288172115,320868,320868.0,5667480,5667480.0,1
288172218,319016,319016.0,5665133,5665133.0,1
288172310,319143,319143.0,5665226,5665226.0,1
288172413,318862,318862.0,5665330,5665330.0,1
288172516,319212,319212.0,5664817,5664817.0,1
288172619,318983,318983.0,5664706,5664706.0,1
288172711,319237,319237.0,5664658,5664658.0,1
288172814,320826,320826.0,5667522,5667522.0,1
288172826,320826,320826.0,5667522,5667522.0,1
288172917,320903,320903.0,5667598,5667598.0,1
288172929,320903,320903.0,5667598,5667598.0,1
